"","xmin","xmax","ymin","ymax","box","lidar_path","rgb_path","label"
"1",398296.6,398301.46,3280997.15,3280998.96,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_1","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
"2",398534.16,398539.84,3280995.59,3280998.99,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_10","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
"3",398877.09,398879.72,3280992.12,3280994.29,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_100","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
"4",398616.66,398626.77,3280920.54,3280928.44,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_1000","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
"5",398700.5,398706.99,3280923.12,3280928.86,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_1001","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
"6",398827.86,398834.94,3280919.54,3280928.47,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_1002","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
"7",398922.23,398925.39,3280924.65,3280929.36,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_1003","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
"8",398985.47,398990.94,3280921.78,3280931.78,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_1004","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
"9",398296.64,398304.46,3280923.13,3280928.96,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_1005","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
"10",398356.01,398361.95,3280922.73,3280931.1,"NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud_laz_silva_1006","NEON_D03_OSBS_DP1_398000_3280000_classified_point_cloud.laz","2017_OSBS_3_398000_3280000_image.tif","Tree"
